beds,baths,sqft,lot_size,year_built,property_type,city,postal_code,lat,lon,sale_date,price
3,4,2379,4718,2003,Detached,Mississauga,L5B,43.596674,-79.648795,2022-05-02,881694
2,1,2108,3693,2008,Semi-Detached,Hamilton,L8P,43.245572,-79.867958,2024-05-06,489847
2,2,2293,3319,2015,Semi-Detached,Ottawa,K1A,45.416346,-75.703203,2025-06-21,798528
1,2,1939,2682,1972,Detached,Mississauga,L5B,43.597225,-79.656308,2022-02-04,698667
2,2,1734,3657,1982,Detached,Waterloo,N2L,43.462584,-80.529472,2023-12-31,522619
3,2,2487,3710,1988,Detached,Toronto,M5V,43.631294,-79.385756,2022-08-05,1105485
4,1,2616,4210,1999,Semi-Detached,Ottawa,K1A,45.415265,-75.712282,2023-02-23,829714
1,2,1969,4443,2004,Detached,Oakville,L6J,43.457122,-79.688458,2023-12-27,1346408
4,3,2799,3770,2003,Semi-Detached,Oakville,L6J,43.466891,-79.701888,2024-03-05,1331231
3,3,1375,0,1987,Condo,Oakville,L6J,43.474937,-79.689822,2022-08-19,698013
2,3,1048,0,2009,Condo,Ottawa,K1A,45.426633,-75.696229,2024-10-09,592615
4,3,2693,2938,2021,Detached,Hamilton,L8P,43.258661,-79.868489,2025-07-30,889795
1,2,780,0,2015,Condo,Brampton,L6P,43.729887,-79.758359,2025-06-11,483126
3,3,1838,1970,2016,Townhouse,London,N6A,42.984635,-81.244698,2025-07-15,402554
1,2,2242,3346,1966,Semi-Detached,Brampton,L6P,43.742928,-79.754881,2024-12-12,543803
2,3,2280,2378,1970,Detached,London,N6A,42.979237,-81.244303,2024-09-08,414495
3,1,1189,0,1967,Condo,Mississauga,L5B,43.564303,-79.63928,2022-05-27,456619
4,2,2138,2748,1971,Townhouse,Mississauga,L5B,43.602639,-79.618708,2022-05-24,728082
2,1,1383,2476,1999,Townhouse,London,N6A,42.995553,-81.23676,2024-03-26,483070
3,3,1464,0,1989,Condo,Toronto,M5V,43.647338,-79.399013,2024-07-02,715065
4,2,2631,4426,1972,Detached,Oakville,L6J,43.471681,-79.706565,2025-03-04,1211117
3,2,2357,2301,2002,Detached,Waterloo,N2L,43.473022,-80.507397,2025-10-20,702252
3,3,1598,1998,1968,Townhouse,Oakville,L6J,43.449667,-79.690131,2023-07-01,846335
4,3,2474,3773,2010,Semi-Detached,London,N6A,42.978931,-81.246412,2022-06-30,609762
3,2,1900,2581,1991,Detached,Mississauga,L5B,43.597724,-79.633438,2023-05-05,958086
4,2,2135,1758,1999,Townhouse,Ottawa,K1A,45.42645,-75.698853,2024-07-09,633031
1,3,1612,3554,1996,Semi-Detached,Mississauga,L5B,43.579866,-79.64865,2023-12-28,648547
5,3,1500,0,2006,Condo,Mississauga,L5B,43.569085,-79.63984,2024-04-17,681428
4,2,1394,0,1970,Condo,Hamilton,L8P,43.272338,-79.878492,2024-05-26,364707
2,1,1978,3111,1983,Semi-Detached,London,N6A,42.993558,-81.257303,2024-12-17,310539
2,2,1549,2706,2004,Townhouse,London,N6A,43.006122,-81.234975,2025-06-14,403797
3,2,1990,1716,2021,Townhouse,Ottawa,K1A,45.429246,-75.706469,2025-08-01,653599
3,2,2238,3297,1987,Semi-Detached,Mississauga,L5B,43.585756,-79.638854,2023-06-06,714631
1,3,2387,3567,2009,Semi-Detached,Oakville,L6J,43.476762,-79.681622,2023-05-31,1312746
3,1,1373,0,2015,Condo,Brampton,L6P,43.730415,-79.767264,2025-12-21,804870
2,3,1631,1751,2017,Townhouse,Waterloo,N2L,43.472429,-80.514104,2025-01-03,733680
2,1,2149,3988,2013,Semi-Detached,Oakville,L6J,43.461584,-79.682229,2025-01-27,1318899
4,2,2459,4160,2005,Detached,London,N6A,42.960334,-81.246065,2025-07-20,694697
2,1,1917,4287,1992,Detached,Ottawa,K1A,45.387859,-75.685965,2023-12-19,610067
2,3,1357,0,1980,Condo,London,N6A,43.001653,-81.23641,2023-07-23,247210
4,3,2599,2348,1973,Detached,Hamilton,L8P,43.256144,-79.882861,2024-08-03,723927
2,2,1643,1925,2009,Townhouse,Ottawa,K1A,45.440108,-75.682417,2025-03-01,573165
2,2,994,0,1967,Condo,Ottawa,K1A,45.421018,-75.684489,2022-06-22,277315
3,4,1342,0,2013,Condo,Waterloo,N2L,43.464426,-80.519423,2025-12-03,668282
5,2,2084,2580,1995,Townhouse,Brampton,L6P,43.745868,-79.769417,2025-10-28,815118
5,4,2721,3019,1988,Semi-Detached,Brampton,L6P,43.721091,-79.775925,2023-10-30,707519
2,2,1516,1870,1981,Townhouse,Oakville,L6J,43.473213,-79.677995,2025-05-09,612988
2,3,1189,0,1966,Condo,Waterloo,N2L,43.463564,-80.523222,2022-01-10,502033
4,4,2559,2622,1989,Semi-Detached,London,N6A,42.997278,-81.261244,2024-04-06,576651
1,3,878,0,1981,Condo,Brampton,L6P,43.73197,-79.766901,2023-12-10,469319
3,1,2374,3596,1965,Detached,Mississauga,L5B,43.588984,-79.64836,2024-05-30,813640
3,3,2437,3044,2008,Semi-Detached,Mississauga,L5B,43.602421,-79.670188,2023-01-24,746581
4,2,1321,0,1975,Condo,Brampton,L6P,43.731996,-79.746294,2023-03-11,568621
3,1,1402,0,1998,Condo,Mississauga,L5B,43.587964,-79.641899,2025-08-24,627114
3,3,1023,0,1974,Condo,Waterloo,N2L,43.459487,-80.531881,2022-07-03,449225
3,2,1709,1130,1980,Townhouse,Oakville,L6J,43.458419,-79.68209,2022-04-05,936269
3,2,2258,4358,1996,Detached,Oakville,L6J,43.46191,-79.702041,2022-03-02,978274
3,2,1771,1959,2021,Townhouse,Mississauga,L5B,43.597514,-79.650304,2022-02-16,934289
4,1,2390,2517,1986,Detached,London,N6A,42.962979,-81.236786,2023-06-10,521067
4,2,1281,0,2011,Condo,Hamilton,L8P,43.257735,-79.878664,2025-07-21,476849
1,2,779,0,2003,Condo,Brampton,L6P,43.740316,-79.76248,2022-03-27,513744
1,2,1621,2609,2013,Townhouse,Toronto,M5V,43.633844,-79.400928,2024-01-18,863842
3,2,1970,3950,1986,Semi-Detached,Oakville,L6J,43.462629,-79.693624,2022-10-04,747893
2,3,1827,3538,2004,Detached,Oakville,L6J,43.465111,-79.696776,2022-08-17,1483156
5,3,2634,4104,2020,Semi-Detached,Hamilton,L8P,43.273531,-79.85868,2024-08-04,1072098
2,4,1587,1636,1984,Townhouse,Brampton,L6P,43.741375,-79.754758,2022-04-23,542290
1,2,1710,3881,1967,Detached,Brampton,L6P,43.739103,-79.751337,2024-06-20,485916
3,2,1342,0,2019,Condo,London,N6A,42.985794,-81.24042,2025-12-13,443246
4,1,2816,3024,1994,Detached,Toronto,M5V,43.648035,-79.376751,2025-08-07,1092680
3,2,1759,2379,2004,Townhouse,London,N6A,42.992957,-81.268564,2025-08-11,546791
